algorithm,user,systemT,elapse,size
classif.ada,25.9179999999999,2.10400000000004,28.030999999959,55.2 Mb
classif.binomial,1.25600000000009,0.198000000000036,1.45400000002701,27.7 Mb
classif.blackboost,12.7750000000001,0.609999999999957,13.3910000000033,5.5 Mb
classif.C50,5.45299999999998,0.0749999999999886,5.53200000000652,0.3 Mb
classif.cvglmnet,67.98,0.479999999999961,68.4529999999795,8.5 Mb
classif.dbnDNN,0.7349999999999,0.061999999999955,0.800999999977648,0.2 Mb
classif.earth,3.12599999999998,0.175999999999988,3.30400000000373,41.7 Mb
classif.extraTrees,198.206,0.887000000000001,65.4239999999991,8.4 Mb
classif.featureless,0.00600000000031287,0,0.00699999998323619,0.1 Mb
classif.gamboost,5.38400000000002,2.03499999999997,7.42299999995157,17 Mb
classif.gbm,2.78999999999996,0.0590000000000259,2.85499999998137,0.5 Mb
classif.glmboost,1.10500000000002,0.309000000000026,1.41300000000047,5.7 Mb
classif.glmnet,6.81899999999996,0.02800000000002,6.84799999999814,9.2 Mb
classif.h2o.deeplearning,2.8390000000004,0.237000000000023,59.179999999993,0.4 Mb
classif.h2o.gbm,2.08800000000019,0.0980000000000132,8.79700000002049,0.3 Mb
classif.h2o.glm,2.01700000000028,0.0840000000000032,3.69000000000233,0.3 Mb
classif.h2o.randomForest,2.08899999999994,0.107000000000028,11.8150000000023,0.3 Mb
classif.IBk,90.5360000000001,0.269999999999982,90.7139999999781,0.3 Mb
classif.J48,6.49799999999959,0.0310000000000059,5.76400000002468,0.3 Mb
classif.JRip,42.1230000000001,0.166999999999973,34.4530000000377,0.3 Mb
classif.kknn,0.0180000000000291,0.00199999999995271,0.0210000000079162,6.8 Mb
classif.ksvm,182.736,3.20100000000002,185.905000000028,5.2 Mb
classif.lda,0.324000000000069,0.0649999999999977,0.391999999992549,0.2 Mb
classif.LiblineaRL1LogReg,0.186999999999898,0.0240000000000009,0.211000000010245,0.2 Mb
classif.LiblineaRL2LogReg,0.173999999999978,0.01400000000001,0.190999999991618,0.2 Mb
classif.logreg,1.31500000000005,0.218000000000018,1.53599999996368,27.7 Mb
classif.lqa,40.1089999999999,11.077,74.6830000000191,34 Mb
classif.mda,210.077,1.02800000000002,211.309999999998,1.3 Mb
classif.mlp,10.931,3.75899999999996,17.484999999986,0.7 Mb
classif.multinom,1.404,0.0509999999999877,1.4649999999674,4.4 Mb
classif.naiveBayes,0.152999999999793,0.0260000000000105,0.181999999971595,0.2 Mb
classif.neuralnet,54.8440000000001,13.304,68.1909999999916,25.5 Mb
classif.nnet,4.68100000000004,0.0459999999999923,4.73499999998603,4.1 Mb
classif.nnTrain,0.386000000000422,0.021000000000015,0.411000000021886,0.2 Mb
classif.nodeHarvest,274.224,198.718,473.052000000025,0.8 Mb
classif.OneR,0.672000000000026,0.534999999999968,0.974000000045635,0.3 Mb
classif.pamr,2.20399999999972,0.461000000000013,2.68899999995483,22.4 Mb
classif.PART,37.0459999999998,0.199999999999932,36.4369999999763,0.3 Mb
classif.penalized,1.42899999999963,0.149000000000001,1.58600000001024,6.1 Mb
classif.plr,187.921,1.52499999999998,193.777000000002,11.1 Mb
classif.plsdaCaret,0.981999999999971,0.0720000000000027,1.51900000002934,20.4 Mb
classif.probit,1.88200000000006,0.354000000000042,2.55099999997765,27.7 Mb
classif.randomForest,124.954,4.41999999999996,157.35500000004,118 Mb
classif.randomForestSRC,588.658,16.3249999999999,706.206000000006,587 Mb
classif.ranger,73.2649999999994,0.733999999999924,74.0119999999879,235.7 Mb
classif.rda,20.9479999999994,0.923000000000002,21.8770000000368,0.2 Mb
classif.rotationForest,52.4429999999993,0.847000000000094,53.286999999953,20.8 Mb
classif.rpart,0.54700000000048,0.0289999999999964,0.577999999979511,2.2 Mb
classif.RRF,127.562000000001,1.1099999999999,128.659000000043,100.6 Mb
classif.saeDNN,0.621000000000095,0.0399999999999636,0.664999999979045,0.2 Mb
classif.sda,0.903000000000247,0.169999999999959,1.08399999997346,0.1 Mb
classif.sparseLDA,1.71200000000044,0.394000000000005,2.11300000001211,0.2 Mb
classif.svm,671.096,1.721,672.86599999998,8.7 Mb
classif.xgboost,0.561999999999898,0.0270000000000437,0.207999999984168,0.2 Mb
